id,label,text,subject,speaker,speaker_job,state,party,barely_true_count,false_count,half_true_count,mostly_true_count,pants_fire_count,context,source,sensational_score,hedging_score,sentiment_compound
3607.json,false,The top 1 percent of income-earners pay about 40 percent of all taxes into the federal government.,"federal-budget,taxes",michele-bachmann,Congresswoman,Minnesota,republican,8.0,22.0,6.0,4.0,16.0,"an interview on NBC's ""Today"" show",LIAR,0.0,0.0,0.1027
9213.json,true,Did you know US population growth is at its lowest since the Great Depression?,"immigration,population",robert-sarvis,"lawyer, businessman",Virginia,libertarian,0.0,0.0,0.0,1.0,0.0,a tweet.,LIAR,0.0,0.0,0.1027
9735.json,pants-fire,Austin mayoral candidate Mike Martinez takes corporate money.,"campaign-finance,candidates-biography,city-government,corporations",eugene-sepulveda,Philanthropist,Texas,democrat,0.0,0.0,0.0,0.0,1.0,a Facebook post,LIAR,0.0,0.0,0.0
8964.json,barely-true,Says Alex Sink supported higher property taxes.,taxes,republican-party-florida,,,republican,10.0,6.0,6.0,6.0,4.0,in a campaign mailer,LIAR,0.0,0.0,0.3182
8239.json,mostly-true,We cut business taxes so today 70 percent of our businesses dont pay a business tax.,"small-business,taxes",rick-scott,Governor,Florida,republican,28.0,23.0,38.0,34.0,7.0,a speech at an Americans for Prosperity Foundation conference,LIAR,0.0,0.0,-0.2033
5661.json,half-true,Obama opposed exploring for energy in Alaska.,"environment,gas-prices,message-machine-2012",american-energy-alliance,,,none,0.0,1.0,1.0,0.0,0.0,a video ad,LIAR,0.0,0.0,0.2732
11347.json,mostly-true,"Every general City of Milwaukee employee pays toward his or her pension, but approximately 88 percent of our police officers and firefighters do not.","city-budget,city-government,labor,pensions,public-safety,taxes,unions",tom-barrett,Mayor of Milwaukee,Wisconsin,democrat,2.0,5.0,8.0,5.0,3.0,a speech,LIAR,0.0,0.0,0.0
12658.json,mostly-true,We got the highest vote count in the history of the Republican Party.,"candidates-biography,elections,history,polls",donald-trump,President-Elect,New York,republican,63.0,114.0,51.0,37.0,61.0,"a speech in Raleigh, N.C.",LIAR,0.0,0.0,0.4019
5504.json,false,Says Barack Obama promised gasoline at $2.50 a gallon.,"energy,gas-prices,transportation",lenny-curry,chairman of the Republican Party of Florida,Florida,republican,2.0,1.0,2.0,0.0,0.0,"an interview on ""Political Connections""",LIAR,0.0,0.0,0.3612
1334.json,half-true,"Obama ""closed offshore tax safe havens.""","economy,foreign-policy",chain-email,,,none,11.0,43.0,8.0,5.0,105.0,a widely circulated e-mail,LIAR,0.0,0.0,0.4404
9264.json,barely-true,"Under Greg Abbott, Texas four-year-olds would be forced to undergo standardized tests.","children,corrections-and-updates,education",wendy-davis,state senator,Texas,democrat,5.0,1.0,8.0,12.0,1.0,an online post,LIAR,0.0,0.0,-0.4588
11294.json,true,Im the only governor in America ... who signed a law that says there needs to be an independent investigation any time theres a death of someone in police custody.,criminal-justice,scott-walker,Milwaukee County Executive,Wisconsin,republican,26.0,41.0,32.0,40.0,11.0,"an interview on CNN's ""State of the Union""",LIAR,0.0,0.0,-0.5994
8837.json,true,"During the past four years, average wages have barely budged.","economy,jobs",barack-obama,President,Illinois,democrat,70.0,71.0,160.0,163.0,9.0,the State of Union address,LIAR,0.0,0.0,0.0
509.json,true,"U.S. forces in Iraq and Afghanistan include a ""few thousand that are still green card holders who are not even citizens of this country.""",military,john-mccain,U.S. senator,Arizona,republican,31.0,39.0,31.0,37.0,8.0,"a TV ad airing Colorado, Nevada and New Mexico",LIAR,0.0,0.0,0.0
1078.json,barely-true,We were promised. The president said we would keep unemployment under 8.5 percent (if the stimulus passed).,"economy,stimulus",eric-cantor,House Majority Leader,Virginia,republican,9.0,6.0,4.0,4.0,4.0,a PBS interview.,LIAR,0.0,0.0,-0.1027
7674.json,mostly-true,A wide majority of NRA households ... supported this legislation on gun background checks.,guns,barack-obama,President,Illinois,democrat,70.0,71.0,160.0,163.0,9.0,remarks in the White House Rose Garden,LIAR,0.05,0.0,-0.0258
6853.json,false,Carol Shea-Porter wants to increase taxes on small business and job creators.,small-business,frank-guinta,"U.S. Congress, NH-First District",New Hampshire,republican,1.0,1.0,1.0,1.0,0.0,"an advertisement, “Veterans,”",LIAR,0.0,0.0,0.3182
3828.json,half-true,"Without ethanol, gas prices would be at least 15% higher. With gas at four bucks, that means youre saving 12 bucks on a 20 gallon fill up.","agriculture,gas-prices",wisconsin-corn-growers-association,,Wisconsin,none,0.0,0.0,1.0,0.0,0.0,a radio ad,LIAR,0.0,0.0,0.0
13361.json,barely-true,"When asked about bills in Congress important to the North Country, Derrick responded I just dont know enough about it.",health-care,elise-stefanik,Representative from the 21st Congressional District,New York,republican,1.0,0.0,0.0,0.0,0.0,a television ad,LIAR,0.0,0.0,0.2023
6158.json,true,There is little if any evidence that the use of red light cameras in New Jersey has reduced the number or severity of accidents at the intersections where they are used.,transportation,michael-doherty,,,republican,1.0,3.0,1.0,1.0,0.0,a news release,LIAR,0.0,0.0,-0.25
5226.json,true,There are 86 languages spoken at Miami Dade College.,"diversity,education,immigration",newt-gingrich,"Co-host on CNN's ""Crossfire""",Georgia,republican,16.0,15.0,20.0,10.0,11.0,a debate,LIAR,0.0,0.0,-0.3818
1747.json,false,Says a Bureau of Labor Statistics report attributed a sharp increase in work-related fatalities to increasing numbers of employees and drivers could not read or understand warning signs in English.,"immigration,transportation",tim-james,,Alabama,republican,0.0,1.0,0.0,0.0,0.0,a press release,LIAR,0.15,0.0,-0.6124
3554.json,false,Austins Pease Elementary is a school that was created as part of the Texas Constitution.,education,meria-carstarphen,"Superintendent, Austin Independent School District",Texas,none,0.0,1.0,0.0,0.0,0.0,a radio interview.,LIAR,0.0,0.0,0.25
13233.json,barely-true,"These are radical Islamic terrorists, and (Hillary Clinton) wont even mention the word.",terrorism,donald-trump,President-Elect,New York,republican,63.0,114.0,51.0,37.0,61.0,the second presidential debate,LIAR,0.0,0.0,-0.6249
8919.json,false,On repealing the 17th Amendment,"debates,elections,states",david-dewhurst,Lieutenant governor,Texas,republican,8.0,8.0,10.0,5.0,5.0,a debate,LIAR,0.0,0.0,0.0
4045.json,half-true,"The Federal Register - which houses all Washington regulations - is 34,000 pages in length and weighs in at more than 340 pounds.",market-regulation,randy-forbes,Representative,Virginia,republican,1.0,0.0,4.0,3.0,0.0,a statement.,LIAR,0.0,0.0,0.0
9660.json,half-true,Says Rick Scott cut Bright Futures scholarships in half.,education,charlie-crist,,Florida,democrat,15.0,9.0,20.0,19.0,2.0,a TV ad,LIAR,0.0,0.0,0.2023
1646.json,half-true,"Cuba wants to let the Chinese drill in some of the very parts of the gulf that American producers are currently forbidden to touch, as close as 45 miles off the Florida coast.",energy,cliff-stearns,U.S. representative,Florida,republican,0.0,0.0,2.0,1.0,0.0,a statement on his campaign Web site.,LIAR,0.0,0.0,-0.4215
9493.json,true,Says Central Texas river water sent to downstream rice farmers in 2011 equaled about three years worth of Austins water use.,water,austin-water-utility,,,none,0.0,0.0,0.0,0.0,0.0,as quoted in a StateImpact Texas news story,LIAR,0.0,0.0,0.2263
1740.json,half-true,The Treaty of Tripoli signed by President John Adams was his outreach to Muslims.,"pundits,religion",keith-olbermann,Political commentator,,none,0.0,2.0,3.0,2.0,0.0,comments on the MSNBC show Countdown ,LIAR,0.0,0.0,0.2732
10808.json,mostly-true,There are more poor people today as a percentage of our population than the 1970s.,poverty,jeb-bush,,Florida,republican,17.0,5.0,17.0,24.0,2.0,an interview with reporters at the North Carolina GOP headquarters,LIAR,0.0,0.0,-0.5256
9017.json,half-true,About half the people who would qualify for Medicaid expansion in Florida can buy a health care plan for $30 a month on the federal health care exchange.,"health-care,medicaid",will-weatherford,State Representative,Florida,republican,2.0,3.0,4.0,3.0,0.0,"an interview with the ""Tampa Bay Times""",LIAR,0.0,0.0,0.7506
12126.json,half-true,Stephen Zappala is the only DA in our state to convict an on-duty police officer of criminal homicide.,public-safety,stephen-zappala,Allegheny County District Attorney,Pennsylvania,democrat,0.0,0.0,1.0,0.0,0.0,in a new ad.,LIAR,0.0,0.0,-0.5267
10360.json,barely-true,Estimates say individuals who escaped these high tax states have taken with them around $2 trillion in adjusted gross income.,taxes,rick-scott,Governor,Florida,republican,28.0,23.0,38.0,34.0,7.0,his second inaugural address,LIAR,0.0,0.0,-0.4767
11141.json,half-true,97 percent of the work that Planned Parenthood does is about mammograms and preventative health.,"abortion,public-health",martin-omalley,Maryland governor,Maryland,democrat,3.0,1.0,10.0,4.0,0.0,a New Hampshire interview,LIAR,0.0,0.0,0.0
5412.json,mostly-true,New Jersey has the second highest rate of institutionalization of people with developmental disabilities in America. Only Texas puts more of its citizens -- confines more of its citizens -- to institutions than New Jersey.,"disability,health-care",chris-christie,Governor of New Jersey,New Jersey,republican,10.0,17.0,27.0,19.0,8.0,his budget speech,LIAR,0.0,0.0,0.0
13120.json,half-true,"Says Hillary Clinton and Tim Kaine want to shut down shale, and shut down natural gas.","climate-change,economy,energy,environment,jobs,public-health,market-regulation,water",donald-trump,President-Elect,New York,republican,63.0,114.0,51.0,37.0,61.0,a speech,LIAR,0.0,0.0,0.4215
1390.json,true,No Democratic campaign for (Fla.) governor has ever had these kinds of resources this early on in an election cycle.,florida,alex-sink,,Florida,democrat,1.0,2.0,2.0,4.0,0.0,response to questions about fundraising totals,LIAR,0.0,0.0,-0.296
8972.json,mostly-true,Travis County now has the highest urban county tax rate in Texas.,taxes,andy-brown,Attorney,Texas,democrat,0.0,1.0,0.0,1.0,0.0,a mailer to voters,LIAR,0.0,0.0,0.0
2179.json,pants-fire,Democrats are poised now to cause this largest tax increase in U.S. history.,taxes,sarah-palin,,Alaska,republican,9.0,19.0,9.0,6.0,6.0,"an interview on ""Fox News Sunday""",LIAR,0.0,0.0,0.5106
6059.json,false,Says combined inflation and unemployment rates in October 2011 were the highest since Ronald Reagan succeeded Jimmy Carter.,"economy,history,jobs",wes-riddle,"Theater owner, activist",Texas,republican,0.0,2.0,0.0,0.0,0.0,a speech.,LIAR,0.0,0.0,-0.0258
10101.json,false,Some doctors say Ebola can be transmitted through the air by a sneeze or some cough.,"ebola,health-care,public-health",george-will,Columnist,Maryland,columnist,7.0,6.0,3.0,5.0,1.0,"comments on ""Fox News Sunday""",LIAR,0.0,0.0,0.0
3255.json,false,Limiting labor negotiations to only wages is how it is for the most part in the private sector.,"labor,state-budget",alberta-darling,"State Senator, 8th District",Wisconsin,republican,1.0,1.0,2.0,1.0,1.0,an appearance on a TV interview program,LIAR,0.0,0.0,0.0
7294.json,pants-fire,We just had someone last week in Neenah near a school kill someone with a bow and arrow.,guns,scott-walker,Milwaukee County Executive,Wisconsin,republican,26.0,41.0,32.0,40.0,11.0,a news conference,LIAR,0.0,0.0,-0.6908
1801.json,true,Rick Scott's even saying he wants more offshore drilling.,oil-spill,alex-sink,,Florida,democrat,1.0,2.0,2.0,4.0,0.0,email,LIAR,0.0,0.0,0.0
1675.json,pants-fire,"Obama said troops ""whine about bearing the costs"" of going to war.","military,veterans",chain-email,,,none,11.0,43.0,8.0,5.0,105.0,chain e-mail,LIAR,0.0,0.0,-0.7506
454.json,barely-true,"Says Obama flip-flopped on a gas-tax ""holiday.""",energy,republican-national-committee-republican,,,republican,6.0,6.0,11.0,5.0,2.0,a Web video.,LIAR,0.0,0.0,0.4019
3310.json,barely-true,President Obama came to Ohio 12 times to try to defeat me and guess what? He didnt win.,elections,john-kasich,"Governor of Ohio as of Jan. 10, 2011",Ohio,republican,9.0,8.0,10.0,18.0,3.0,a CNN interview,LIAR,0.0,0.0,-0.7246
10050.json,false,"20,000 Kansans lost their health insurance because of (Obamacare).","health-care,message-machine-2014",pat-roberts,U.S. Senator,Kansas,republican,1.0,1.0,0.0,0.0,0.0,a Web video,LIAR,0.0,0.0,-0.3182
8492.json,true,"Under President George W. Bush, we added $4.9 trillion to the debt. Under President Obama weve added $6.5 trillion to the debt.",debt,kelly-ayotte,U.S. Senator,New Hampshire,republican,2.0,1.0,1.0,4.0,0.0,"a town hall meeting in Hudson, N.H.",LIAR,0.0,0.0,-0.6124
9808.json,barely-true,Congress is on vacation.,"congress,congressional-rules",barack-obama,President,Illinois,democrat,70.0,71.0,160.0,163.0,9.0,a Saturday broadcast address,LIAR,0.0,0.0,0.0
3025.json,true,Its taken more time to complete the Towpath Trail than it did to build the (Ohio Erie) Canal.,recreation,dan-moore,Commissioner for Cleveland MetroParks,Ohio,none,0.0,0.0,0.0,0.0,0.0,an interview with The Plain Dealer,LIAR,0.0,0.0,0.0
1041.json,pants-fire,"Inside the stimulus package is anti-Christian legislation that will stop churches from using public schools for meeting on Sundays, as well as Boy Scouts and student Bible study groups.","economy,religion,stimulus",newt-gingrich,"Co-host on CNN's ""Crossfire""",Georgia,republican,16.0,15.0,20.0,10.0,11.0,an e-mail,LIAR,0.0,0.0,-0.0258
8346.json,pants-fire,"In a sweetheart deal members of Congress, thanks to the Obama administration, are going to be the only people in America to get subsidies in the Obamacare exchanges.",health-care,jeb-hensarling,U.S. Congressman,Texas,republican,0.0,2.0,1.0,0.0,1.0,a House floor speech,LIAR,0.0,0.0,0.802
11845.json,mostly-true,Weve cut taxes 50 times and look what has happened to our revenues. Theyve grown.,"state-budget,taxes",rick-scott,Governor,Florida,republican,28.0,23.0,38.0,34.0,7.0,a comment to a Tampa Bay Times reporter,LIAR,0.0,0.0,-0.2732
7200.json,half-true,"The average kid comes out of Virginia colleges with about $25,000-plus in debt.",education,bob-mcdonnell,Governor,Virginia,republican,6.0,5.0,7.0,6.0,3.0,a news conference.,LIAR,0.0,0.0,-0.3612
8213.json,half-true,Congress secured special Obamacare rules to prevent their healthcare costs from rising.,"congress,health-care",karen-handel,,,republican,2.0,0.0,3.0,3.0,1.0,an email,LIAR,0.0,0.0,0.6705
2126.json,mostly-true,Shirley Sherrod was forced to resign before anybody on Fox said a word about this.,"agriculture,diversity,pundits,abc-news-week",stephen-hayes,Senior writer for the Weekly Standard,,none,2.0,0.0,1.0,1.0,0.0,"a roundtable discussion on ABC's ""This Week""",LIAR,0.0,0.0,-0.6597
13314.json,mostly-true,"Says Saudi Arabia, a U.S. ally, has paid to export throughout the world Wahhabism -- an extreme form of Islam that basically teaches Americans are the devil.","foreign-policy,islam,religion",russ-feingold,,Wisconsin,democrat,2.0,4.0,7.0,5.0,1.0,an interview,LIAR,0.0,0.0,-0.6597
9699.json,mostly-true,Says U.S. Senate candidate Joni Ernst does not support a national minimum wage.,"federal-budget,income,jobs,workers",bruce-braley,U.S. House of Representatives,Iowa,democrat,0.0,2.0,0.0,1.0,0.0,,LIAR,0.0,0.0,-0.3089
9349.json,half-true,Governor Scott Cut Taxes 40 Times For Florida Families,taxes,rick-scott,Governor,Florida,republican,28.0,23.0,38.0,34.0,7.0,a campaign tweet,LIAR,0.0,0.0,-0.2732
1994.json,false,On the use of presidentially appointed commissions.,"energy,federal-budget,government-efficiency,nuclear,oil-spill,science",barack-obama,President,Illinois,democrat,70.0,71.0,160.0,163.0,9.0,"a campaign speech in Grand Junction, Colo.",LIAR,0.0,0.0,0.0
6961.json,mostly-true,Laurie Monnes Anderson voted to let violent criminals out of jail early.,"crime,criminal-justice,voting-record",oregon-senate-republicans,,Oregon,republican,1.0,0.0,0.0,1.0,0.0,a campaign mailer,LIAR,0.0,0.0,-0.8225
289.json,half-true,Says he passed a bill to stop a military requirement that wounded soldiers pay for meals and phone calls.,military,barack-obama,President,Illinois,democrat,70.0,71.0,160.0,163.0,9.0,a debate in Las Vegas,LIAR,0.0,0.0,-0.3818
8751.json,false,Jobs that involve the minimum wage are overwhelmingly jobs for young people starting out in the workforce.,"jobs,labor",scott-walker,Milwaukee County Executive,Wisconsin,republican,26.0,41.0,32.0,40.0,11.0,an interview,LIAR,0.0,0.0,-0.128
10910.json,pants-fire,"If you care about the environment, weve got record funding.",environment,rick-scott,Governor,Florida,republican,28.0,23.0,38.0,34.0,7.0,a speech at his economic summit for presidential candidates,LIAR,0.0,0.0,0.4939
2820.json,true,The (federal) debt is growing by more than $4 billion a day.,"deficit,economy,federal-budget",rick-perry,Governor,Texas,republican,30.0,30.0,42.0,23.0,18.0,"in ""Fed Up! Our Fight to Save America from Washington""",LIAR,0.0,0.0,-0.2023
4542.json,true,"A family of four can make up to $88,000 a year and still get a subsidy for health insurance under the new federal health care law.",health-care,helen-glover,"talk show host, WHJJ",Rhode Island,talk-show-host,1.0,1.0,0.0,0.0,0.0,a radio talk show,LIAR,0.0,0.0,0.4939
9805.json,half-true,More whites than blacks are victims of deadly police shootings.,"civil-rights,crime,criminal-justice",michael-medved,Radio talk show host,,none,0.0,0.0,1.0,0.0,0.0,"a Web post from the ""Michael Medved Show""",LIAR,0.0,0.0,-0.3182
8515.json,barely-true,Says Alex Sink supported a $5.2 billion increase in Floridas debt.,"debt,economy,state-finances",republican-party-florida,,,republican,10.0,6.0,6.0,6.0,4.0,a YouTube attack ad,LIAR,0.0,0.0,0.2732
322.json,barely-true,Gasoline would rise in price by approximately 50 cents a gallon if the McCain-Lieberman bill became law.,energy,mitt-romney,Former governor,Massachusetts,republican,34.0,32.0,58.0,33.0,19.0,"West Palm Beach, Fla.",LIAR,0.0,0.0,0.0
219.json,mostly-true,He's (Romney) the one who said that he would be to the left of Teddy Kennedy on gay rights.,gays-and-lesbians,rudy-giuliani,Attorney,New York,republican,9.0,11.0,10.0,7.0,3.0,"MSNBC's ""Morning Joe""",LIAR,0.0,0.0,0.0
13161.json,half-true,Since I came into office we have increased the VA budget by 85 percent.,"federal-budget,veterans",barack-obama,President,Illinois,democrat,70.0,71.0,160.0,163.0,9.0,a CNN town hall,LIAR,0.0,0.0,0.2732
249.json,mostly-true,McCain opposes repeal of the death tax.,taxes,mitt-romney,Former governor,Massachusetts,republican,34.0,32.0,58.0,33.0,19.0,a TV ad,LIAR,0.0,0.0,-0.5994
5174.json,false,Saysproposal to boostteacherpension fundputs no mandate on local government.,"city-budget,county-budget,education,pensions,state-budget",bob-mcdonnell,Governor,Virginia,republican,6.0,5.0,7.0,6.0,3.0,a speech.,LIAR,0.0,0.0,-0.296
7217.json,half-true,Report that #GOP insisting on changes to Social Security as part of #fiscalcliff false. BTW those changes are supported by @barackobama.,"federal-budget,social-security",marco-rubio,U.S. Senator,Florida,republican,33.0,24.0,32.0,35.0,5.0,in a tweet,LIAR,0.1,0.0,0.5719
11068.json,half-true,"134,000 (criminal) aliens have been released by the (Obama) administration in just the past two years.","crime,immigration",hans-von-spakovsky,,,republican,0.0,0.0,1.0,0.0,0.0,an article on the Heritage Foundation website,LIAR,0.0,0.0,-0.5267
131.json,false,"The Clintons now charge the Secret Service $10,000 monthly rent for the use of (a) Secret Service residence and that rent is just about equal to their mortgage payment.",candidates-biography,chain-email,,,none,11.0,43.0,8.0,5.0,105.0,an e-mail message circulated by many people.,LIAR,0.15,0.0,0.0
10655.json,barely-true,Today roughly half of born-again Christians arent voting. Theyre staying home.,"corrections-and-updates,elections,religion",ted-cruz,Senator,Texas,republican,36.0,33.0,15.0,19.0,8.0,,LIAR,0.0,0.0,0.0
13246.json,false,Says Pete Gallego went and lobbied after you fired him from Congress.,"candidates-biography,ethics",national-republican-congressional-committee,,,republican,18.0,9.0,8.0,5.0,8.0,a TV ad,LIAR,0.0,0.0,-0.5574
11500.json,false,Says he didnt have an involvement withnutritional supplement company Mannatech.,candidates-biography,ben-carson,,,republican,7.0,12.0,3.0,2.0,4.0,"a Republican presidential debate in Boulder, Colo.",LIAR,0.0,0.0,0.0
5002.json,true,Says there have been no cases of wolves killing people in Rocky Mountain states.,environment,oregon-department-fish-and-wildlife,,,none,0.0,0.0,0.0,0.0,0.0,a news story,LIAR,0.0,0.0,-0.765
357.json,true,She flunked the D.C. bar exam.,candidates-biography,chain-email,,,none,11.0,43.0,8.0,5.0,105.0,a chain e-mail based on an article written by Dick Morris,LIAR,0.0,0.0,-0.4767
8110.json,half-true,"For several days in July of 2012, Greenland surface ice cover melted more than at any time in 30 years of satellite observation. During that month, an estimated 97% of the ice sheet thawed.","climate-change,environment,weather",brian-schatz,United States Senator,Hawaii,democrat,0.0,0.0,1.0,0.0,0.0,a speech on the floor of the U.S. Senate,LIAR,0.0,0.0,0.0
11372.json,true,"Since 2008, U.S. crude oil output has increased by over 80 percent, an increase of over 4 million barrels a day. That is the fastest increase in U.S. history.",energy,jeb-bush,,Florida,republican,17.0,5.0,17.0,24.0,2.0,his energy plan,LIAR,0.0,0.0,0.25
1443.json,true,The State of Texas does not even use the E-Verify system to determine if someone is legally in our country when they apply for a job.,immigration,kay-bailey-hutchison,U.S. Senator,Texas,republican,2.0,4.0,4.0,3.0,0.0,a debate.,LIAR,0.0,0.0,0.1027
12592.json,false,On eliminating the influence of money in policy campaigns,"campaign-finance,city-government,ethics",jim-kenney,Philadelphia Mayor,Pennsylvania,democrat,1.0,0.0,1.0,0.0,0.0,,LIAR,0.0,0.0,0.0
5527.json,false,Says over 1 million signatures were submitted in attempt to recall Gov. Scott Walker.,elections,state-democratic-party-wisconsin,,Wisconsin,democrat,5.0,7.0,2.0,2.0,7.0,a video and multiple other instances,LIAR,0.0,0.0,0.0
5892.json,false,Jim Renacci voted repeatedly to end Medicare.,"health-care,medicare",betty-sutton,U.S. representative from Ohio's 13th District,Ohio,democrat,0.0,2.0,1.0,2.0,1.0,a campaign email,LIAR,0.0,0.0,0.0
3106.json,false,A national organization says Georgia has one of Americas toughest ethics laws.,"campaign-finance,ethics",joe-wilkinson,state representative,Georgia,republican,0.0,1.0,0.0,0.0,0.0,a newspaper article,LIAR,0.0,0.0,-0.0772
13308.json,barely-true,Says Hillary Clintons plan is going to raise taxes and even double your taxes.,"economy,income,taxes",donald-trump,President-Elect,New York,republican,63.0,114.0,51.0,37.0,61.0,the third 2016 presidential debate,LIAR,0.0,0.0,0.0
4111.json,half-true,95 percent of teachers and principals are not implicated in the [Atlanta Public Schools cheating scandal] report at all.,education,shirley-franklin,,Georgia,democrat,0.0,0.0,1.0,0.0,1.0,a television interview,LIAR,0.15,0.0,-0.7579
2529.json,true,Rhode Island has a very generous unemployment compensation rate compared to most other states.,"economy,states,workers",john-robitaille,,Rhode Island,republican,0.0,1.0,2.0,0.0,0.0,an interview on WHJJ's Helen Glover Show,LIAR,0.0,0.0,0.1065
11720.json,mostly-true,"By the end of 2015, more than 1,300 people will have died on Georgia roads. One of out evey four fatalities resulted from drunken driving.","Alcohol,crime,public-safety,states,transportation",state-public-service-announcement,promoting safe driving,Georgia,none,0.0,0.0,0.0,1.0,0.0,,LIAR,0.0,0.0,-0.8176
1838.json,mostly-true,"The federal government only ordered BP to pay ""to do one of those six segments"" of sand barriers for Louisiana.","energy,environment,oil-spill,abc-news-week",bobby-jindal,Governor of Louisiana,Louisiana,republican,0.0,1.0,4.0,4.0,0.0,"an interview on ABC news ""This Week''",LIAR,0.0,0.0,-0.1027
